File Name,Significance,Notes
ChoroidalNaevus_hover.png,Retina,
RetinalArteryOcclusionPostPole.png,Retina,
Fuchs_hover.png,Anterior Segment,
Telangiectasis_hover.png,Retina,
LasikFlap_hover.png,Anterior Segment,
PeripapillaryAtrophy_hover.png,Glaucoma,
NuclearCataract_hover.png,Anterior Segment,
CottonWoolSpot.png,Retina,
Tube.png,Glaucoma,
IRMA.png,Retina,
RK.png,Anterior Segment,
MacularThickening_hover.png,Retina,
TrabyConjIncision.png,Glaucoma,
PeripapillaryAtrophy.png,Glaucoma,
FibrousProliferation_hover.png,Retina,
HardExudate.png,Retina,
PosteriorSynechia.png,Anterior Segment,
Papilloedema.png,Retina,
CornealScar_hover.png,Anterior Segment,
CNV.png,Retina,
SwollenDisc_hover.png,Retina,
RetinalVeinOcclusionPostPole.png,Retina,
DiscPallor.png,Retina,
RetinalVeinOcclusionPostPole_hover.png,Retina,
MacularHole_hover.png,Retina,
Geographic_hover.png,Retina,
FibrousProliferation.png,Retina,
TractionRetinalDetachment_hover.png,Retina,
Fuchs.png,Anterior Segment,
PCIOL_hover.png,Anterior Segment,
MacularGrid.png,Retina,
DiscPallor_hover.png,Retina,
ChoroidalNaevus.png,Retina,
MacularThickening.png,Retina,
AntSynech_hover.png,Anterior Segment,
ACIOL_hover.png,Anterior Segment,
Macroaneurysm_hover.png,Retina,
SectorIridectomy.png,Anterior Segment,
CNV_hover.png,Retina,
AntSynech.png,Anterior Segment,
EpiretinalMembrane.png,Retina,
RPEDetachment_hover.png,Retina,
Bleb.png,Glaucoma,
PI.png,Anterior Segment,
FocalLaser_hover.png,Retina,
MeshworkPatternMedium.gif,,
MeshworkPatternHeavy.gif,,
APattern.gif,,
CribriformPatternSmall.gif,,
BrownSpotPattern.gif,,
VPattern.gif,,
MeshworkPatternLight.gif,,
CryoPattern.gif,Retina,
OedemaPattern.gif,,
FuchsPattern.gif,Anterior Segment,
PSCPattern.gif,Anterior Segment,
NoPattern.gif,,
LatticePattern.gif,Retina,
OedemaPatternBullous.gif,Anterior Segment,
LaserPattern.gif,Retina,
NewVesselPattern.gif,Retina,
AntPVRPattern.gif,Retina,
CribriformPattern.gif,Glaucoma,
PCIOL.gif,Anterior Segment,
deleteSelectedDoodle.gif,,
BuckleWithMargin.gif,Retina,
Baerveldt250.gif,Glaucoma,
Bypass.gif,,
Rotate.gif,,
NuclearCataract.gif,Anterior Segment,
OuterLeafBreak.gif,Retina,
TubeLigation.gif,Glaucoma,
CornealOedema.gif,Anterior Segment,
DiabeticNV.gif,Retina,
PI.gif,Anterior Segment,
KrukenbergSpindle.gif,Anterior Segment,
Freehand.gif,,
DrawingControl.gif,,
DiscPallor.gif,Glaucoma,
UTear.gif,Retina,
IRMA.gif,Retina,
AntSynech.gif,Anterior Segment,
UpDriftFromRight.gif,,
resetEyedraw.gif,,
Geographic.gif,Retina,
PosteriorEmbryotoxon.gif,Anterior Segment,
RoundHole.gif,Retina,
ScleralIncision.gif,Anterior Segment,
TrabyConjIncision.gif,Anterior Segment,
TrabySuture.gif,Anterior Segment,
RetinalTouch.gif,Retina,
Vicryl.gif,Anterior Segment,
RightPostPole.gif,Retina,
Chalazion.gif,Anterior Segment,
ConjunctivalSuture.gif,Anterior Segment,
RetinalArteryOcclusionPostPole.gif,Retina,
Arrow.gif,,
CornealInlay.gif,Anterior Segment,
MacularHole.gif,Retina,
OpticCup.gif,Glaucoma,
Conjunctivitis.gif,Anterior Segment,
ToricPCIOL.gif,Anterior Segment,
IrisNaevus.gif,Anterior Segment,
Papilloedema.gif,Retina,
InjectionSite.gif,Retina,
BusaccaNodule.gif,Anterior Segment,
ACMaintainer.gif,Anterior Segment,
SwollenDisc.gif,Retina,
flipHor.gif,,
DiscHaemorrhage.gif,Glaucoma,
HardDrusen.gif,Retina,
Retinoschisis.gif,Retina,
NerveDefect.gif,Glaucoma,
IOL.gif,Anterior Segment,
ChandelierDouble.gif,Retina,
CornealScar.gif,Anterior Segment,
Dialysis.gif,Retina,
Trabectome.gif,Glaucoma,
SubretinalPFCL.gif,Retina,
PostSubcapCataract.gif,Anterior Segment,
IrisHook.gif,Anterior Segment,
Sclerostomy.gif,Anterior Segment,
CiliaryInjection.gif,Anterior Segment,
Haematoma.gif,,
UpDriftFromLeft.gif,,
LaserSpot.gif,Retina,
PointInLine.gif,,
OpticDiscPit.gif,Glaucoma,
TractionRetinalDetachment.gif,Retina,
RightFundus.gif,Retina,
Lattice.gif,Retina,
Lens.gif,Anterior Segment,
Effusion.gif,,
OpticDisc.gif,Glaucoma,
MacularGrid.gif,Retina,
RadialSponge.gif,,
EyeWithLids.gif,Anterior Segment,
EntrySiteBreak.gif,Retina,
PeripheralRetinectomy.gif,Retina,
RK.gif,Anterior Segment,
CornealGraft.gif,Anterior Segment,
Select.gif,,
TransilluminationDefect.gif,Anterior Segment,
Hyphaema.gif,Anterior Segment,
UpShootFromLeft.gif,,
CottonWoolSpot.gif,Retina,
Buckle.gif,Retina,
AntSeg.gif,Anterior Segment,
Scale.gif,,
SectorPRP.gif,Retina,
ColourWell.gif,,
PeripapillaryAtrophy.gif,Glaucoma,
Wheeze.gif,,
ChoroidalHaemorrhage.gif,Retina,
PRPPostPole.gif,Retina,
Telangiectasis.gif,Retina,
PosteriorCapsule.gif,Anterior Segment,
LasikFlap.gif,Anterior Segment,
Baerveldt350.gif,Glaucoma,
Grommet.gif,Glaucoma,
Shading.gif,,
KeraticPrecipitates.gif,Anterior Segment,
BlotHaemorrhage.gif,Retina,
Fuchs.gif,Anterior Segment,
NerveFibreDefect.gif,Glaucoma,
BiopsySite.gif,Anterior Segment,
SubretinalFluid.gif,Retina,
Perforation.gif,,
FibrousProliferation.gif,Retina,
PosteriorSynechia.gif,Anterior Segment,
TubeExtender.gif,Glaucoma,
RPERip.gif,Retina,
DrainageSite.gif,Retina,
ChandelierSingle.gif,Retina,
LaserCircle.gif,Retina,
StarFold.gif,Retina,
MattressSuture.gif,Anterior Segment,
CornealAbrasion.gif,Anterior Segment,
ILMPeel.gif,Retina,
PreRetinalHaemorrhage.gif,Retina,
AhmedFP7.gif,Glaucoma,
ConjunctivalFlap.gif,Anterior Segment,
KoeppeNodule.gif,Anterior Segment,
SidePort.gif,Anterior Segment,
Macroaneurysm.gif,Retina,
DrainageRetinotomy.gif,Retina,
RPEDetachment.gif,Retina,
MacularDystrophy.gif,Retina,
FocalLaser.gif,Retina,
CystoidMacularOedema.gif,Retina,
IatrogenicBreak.gif,Retina,
Patch.gif,,
PhakoIncision.gif,Anterior Segment,
CapsularTensionRing.gif,Anterior Segment,
CNV.gif,Retina,
PosteriorRetinectomy.gif,Retina,
AngleNV.gif,Retina,
DrugStent.gif,Anterior Segment,
Hypopyon.gif,Anterior Segment,
Microaneurysm.gif,Retina,
Scar.gif,Retina,
SectorPRPPostPole.gif,Retina,
BuckleSuture.gif,Anterior Segment,
ACIOL.gif,Anterior Segment,
Bruit.gif,,
Rubeosis.gif,Anterior Segment,
VitreousOpacity.gif,Retina,
GRT.gif,Retina,
unlock.gif,,
Cryo.gif,Retina,
moveToFront.gif,,
Lump.gif,,
Tube.gif,Glaucoma,
InnerLeafBreak.gif,Retina,
AntPVR.gif,Retina,
RecordReading.gif,,
Label.gif,,
Abrasion.gif,Anterior Segment,
lock.gif,,
TrabyFlap.gif,Anterior Segment,
LimbalRelaxingIncision.gif,Anterior Segment,
flipVer.gif,,
SectorIridectomy.gif,Anterior Segment,
Dendrite.gif,Anterior Segment,
RRD.gif,Retina,
CornealStriae.gif,Anterior Segment,
CircumferentialBuckle.gif,Retina,
Crepitations.gif,,
more.gif,,
CutterPI.gif,Anterior Segment,
CornealSuture.gif,Anterior Segment,
Stenosis.gif,Glaucoma,
HardExudate.gif,Retina,
Bruising.gif,,
EncirclingBand.gif,Retina,
ChoroidalNaevus.gif,Retina,
MacularThickening.gif,Retina,
moveToBack.gif,,
LaserDemarcation.gif,Retina,
RetinalVeinOcclusionPostPole.gif,Retina,
ViewObscured.gif,,
